file,price_price,price_price_ls,price_weight,price_weight_ls,price_size,price_elems,price_elems_ls,price_time,price_time_ls,weight_price,weight_price_ls,weight_weight,weight_weight_ls,weight_size,weight_elems,weight_elems_ls,weight_time,weight_time_ls,side_linear_price,side_linear_price_ls,side_linear_weight,side_linear_weight_ls,side_linear_size,side_linear_elems,side_linear_elems_ls,side_linear_time,side_linear_time_ls,side_quad_price,side_quad_price_ls,side_quad_weight,side_quad_weight_ls,side_quad_size,side_quad_elems,side_quad_elems_ls,side_quad_time,side_quad_time_ls,combined_linear_price,combined_linear_price_ls,combined_linear_weight,combined_linear_weight_ls,combined_linear_size,combined_linear_elems,combined_linear_elems_ls,combined_linear_time,combined_linear_time_ls,combined_quad_price,combined_quad_price_ls,combined_quad_weight,combined_quad_weight_ls,combined_quad_size,combined_quad_elems,combined_quad_elems_ls,combined_quad_time,combined_quad_time_ls
side_lg_8.dat,1833,1833,0.0526,0.0526,0.9729,21,112,108.38,2.687,1893,2195,0.0425,0.0664,0.9683,15,116,113.583,2.806,2930,2930,0.0948,0.0948,0.8382,15,195,864.706,8.383,2932,2932,0.0988,0.0988,0.8266,12,201,1092.782,9.203,2442,2799,0.0689,0.1016,0.8852,11,169,463.158,7.286,2582,2974,0.0742,0.1052,0.8143,12,178,927.81,8.783
side_lg_43.dat,2016,2016,0.0612,0.0612,0.9662,23,122,155.824,3.275,1369,2009,0.03,0.0736,0.9474,9,91,127.685,2.838,2769,2769,0.0931,0.0931,0.8288,15,182,802.773,7.98,2814,2814,0.1014,0.1014,0.8308,12,198,1059.317,9.181,2229,2738,0.0606,0.1013,0.8817,10,150,406.695,5.735,2572,2994,0.0813,0.1159,0.8479,12,184,868.11,8.55
side_lg_42.dat,1729,1729,0.0465,0.0465,0.9793,18,98,80.821,2.0,1640,1956,0.0357,0.0616,0.9878,8,103,69.39,2.022,2892,2892,0.0936,0.0936,0.8533,11,190,865.709,7.962,2884,2884,0.0984,0.0984,0.8261,7,198,1123.198,9.338,2331,2829,0.0612,0.1014,0.8984,10,158,446.455,6.165,2502,2908,0.0716,0.1026,0.8031,8,173,984.661,9.27
side_lg_9.dat,2026,2026,0.0622,0.0622,0.9162,21,126,219.478,4.754,1735,2152,0.0407,0.071,0.974,9,109,105.824,2.559,2797,2797,0.0892,0.0892,0.8485,12,184,824.513,7.701,2769,2769,0.0934,0.0934,0.8175,10,189,1074.311,8.614,2310,2668,0.0607,0.0889,0.9023,8,150,364.95,5.007,2517,2781,0.0721,0.0919,0.8093,10,169,940.203,8.369
side_lg_40.dat,1740,1740,0.0527,0.0527,0.9634,16,106,103.957,2.567,1745,2111,0.0457,0.0813,0.9533,4,116,154.612,3.631,2875,2875,0.1039,0.1039,0.8627,7,201,836.686,7.637,2806,2806,0.1038,0.1038,0.8036,3,202,1209.813,9.984,2277,2674,0.069,0.1093,0.8306,5,163,548.649,7.976,2654,2890,0.089,0.1118,0.8301,7,197,971.747,9.911
side_lg_41.dat,1646,1646,0.0563,0.0563,0.9562,20,109,136.603,3.59,1449,1805,0.0406,0.073,0.9736,7,104,113.356,3.122,2347,2347,0.0884,0.0884,0.8457,9,167,689.21,7.233,2302,2302,0.0909,0.0909,0.7906,8,175,1059.816,10.14,1870,2319,0.0579,0.0998,0.8927,6,141,351.469,5.934,2006,2446,0.0693,0.1038,0.8143,7,158,815.947,9.263
side_lg_45.dat,1548,1548,0.047,0.047,0.9775,21,93,98.071,2.122,1407,1705,0.0336,0.062,0.9671,9,95,128.923,3.192,2481,2481,0.0845,0.0845,0.842,12,169,708.408,6.613,2483,2483,0.0911,0.0911,0.8332,11,180,957.317,8.147,2027,2402,0.058,0.089,0.8636,10,142,417.428,5.929,2254,2590,0.0725,0.1019,0.8604,9,167,713.375,7.361
side_lg_44.dat,1906,1906,0.0585,0.0585,0.9806,21,107,79.679,1.598,2030,2479,0.0553,0.0905,0.9726,12,132,136.149,3.485,3037,3037,0.105,0.105,0.8802,13,203,790.823,7.062,3001,3001,0.1077,0.1077,0.8463,12,207,1085.79,8.273,2552,2818,0.0754,0.1005,0.8933,12,169,467.508,5.7,2720,2976,0.0864,0.1106,0.8613,11,186,836.17,7.295
side_lg_46.dat,1634,1634,0.0509,0.0509,0.9809,11,107,87.005,2.689,1670,2196,0.0375,0.0867,0.9726,5,115,126.042,3.25,2785,2785,0.098,0.098,0.8873,6,195,722.736,6.603,2742,2742,0.1031,0.1031,0.8426,4,205,1061.088,9.066,2347,2674,0.0773,0.1065,0.8953,5,178,457.592,7.372,2458,2757,0.0822,0.11,0.8508,4,188,823.852,8.76
side_lg_47.dat,1407,1407,0.0401,0.0401,0.9672,18,81,68.774,1.434,1451,1949,0.0339,0.0713,0.9635,6,99,108.632,2.464,2654,2654,0.0866,0.0866,0.8526,8,177,738.871,7.164,2645,2645,0.0921,0.0921,0.8441,8,189,957.619,8.071,2163,2548,0.0586,0.0919,0.8515,9,148,485.441,6.093,2331,2757,0.0687,0.0989,0.7952,6,168,893.264,9.275
side_lg_34.dat,1593,1593,0.0457,0.0457,0.9825,10,94,75.207,1.879,1635,1836,0.0396,0.0598,0.9796,9,107,111.735,2.636,2789,2789,0.0952,0.0952,0.8238,8,187,902.196,7.694,2746,2746,0.0984,0.0984,0.7691,4,193,1331.896,10.592,2276,2766,0.0667,0.1065,0.8667,6,162,514.569,6.872,2508,2845,0.0767,0.106,0.8486,5,176,799.74,7.196
side_lg_20.dat,1781,1781,0.0571,0.0571,0.9787,16,110,111.501,3.001,1533,1797,0.0367,0.0642,0.9799,9,100,85.53,2.397,2706,2706,0.0938,0.0938,0.8482,10,185,768.112,7.617,2609,2609,0.0987,0.0987,0.7899,7,192,1150.132,10.224,2353,2584,0.0755,0.0964,0.8861,9,165,409.277,6.666,2402,2690,0.0753,0.0996,0.8407,8,172,781.079,7.964
