file,price_price,price_price_ls,price_weight,price_weight_ls,price_size,price_elems,price_elems_ls,price_time,price_time_ls,weight_price,weight_price_ls,weight_weight,weight_weight_ls,weight_size,weight_elems,weight_elems_ls,weight_time,weight_time_ls,side_linear_price,side_linear_price_ls,side_linear_weight,side_linear_weight_ls,side_linear_size,side_linear_elems,side_linear_elems_ls,side_linear_time,side_linear_time_ls,side_quad_price,side_quad_price_ls,side_quad_weight,side_quad_weight_ls,side_quad_size,side_quad_elems,side_quad_elems_ls,side_quad_time,side_quad_time_ls,combined_linear_price,combined_linear_price_ls,combined_linear_weight,combined_linear_weight_ls,combined_linear_size,combined_linear_elems,combined_linear_elems_ls,combined_linear_time,combined_linear_time_ls,combined_quad_price,combined_quad_price_ls,combined_quad_weight,combined_quad_weight_ls,combined_quad_size,combined_quad_elems,combined_quad_elems_ls,combined_quad_time,combined_quad_time_ls
side_sm_41.dat,1771,1771,0.1174,0.1174,0.9769,24,103,101.484,2.034,1633,2158,0.0974,0.1964,0.9739,8,110,119.022,3.244,2914,2914,0.2401,0.2401,0.8195,16,192,943.077,7.855,2940,2940,0.2607,0.2607,0.8262,14,206,1164.787,8.766,2086,2735,0.1346,0.2779,0.8356,11,142,402.866,6.651,2629,2955,0.1937,0.2803,0.8387,14,182,855.979,8.006
side_sm_40.dat,1785,1785,0.1221,0.1221,0.9869,20,107,74.671,1.867,1696,2376,0.107,0.206,0.9653,8,123,130.504,4.277,2836,2836,0.2131,0.2131,0.8362,13,193,882.644,7.582,2855,2855,0.2223,0.2223,0.8446,10,200,1091.445,7.791,2199,2637,0.1416,0.2289,0.9226,11,157,286.509,4.548,2497,2756,0.1698,0.2345,0.8001,12,180,951.473,9.184
side_sm_42.dat,2168,2168,0.1764,0.1764,0.9656,21,135,160.808,4.575,1646,2130,0.1128,0.2172,0.9885,9,112,89.829,2.75,2896,2896,0.2654,0.2654,0.8709,12,198,753.323,7.731,2788,2788,0.2637,0.2637,0.7921,12,198,1219.988,10.908,2196,2816,0.1604,0.2828,0.8955,11,152,326.722,5.663,2373,3181,0.1832,0.3119,0.8805,11,169,649.179,6.328
side_sm_8.dat,1926,1926,0.1463,0.1463,0.972,17,109,126.503,2.575,1224,1729,0.0736,0.1901,0.9507,4,80,99.203,2.466,2834,2834,0.2424,0.2424,0.8394,8,184,860.224,7.105,2785,2785,0.2525,0.2525,0.814,8,192,1089.428,8.851,2106,2519,0.1507,0.2331,0.9359,8,138,222.651,3.443,2422,2980,0.1932,0.3021,0.8589,6,168,704.192,7.014
side_sm_9.dat,1866,1866,0.1549,0.1549,0.9703,22,118,102.446,3.151,2125,2762,0.1481,0.2782,0.9634,7,143,200.195,5.037,2770,2770,0.2388,0.2388,0.8718,12,191,727.142,7.171,2717,2717,0.2441,0.2441,0.8011,9,194,1105.258,9.501,2249,2559,0.1776,0.2599,0.9153,9,164,332.333,5.757,2424,2922,0.1929,0.2922,0.8267,8,174,781.775,8.254
side_sm_43.dat,2160,2160,0.166,0.166,0.9761,25,132,145.891,3.334,1715,2418,0.102,0.2366,0.9699,12,120,151.581,3.546,2992,2992,0.2711,0.2711,0.8589,17,212,847.073,8.55,2972,2972,0.2819,0.2819,0.8309,13,218,1251.365,9.89,2279,2795,0.1864,0.2659,0.9116,11,172,347.386,6.81,2539,3112,0.2056,0.3061,0.8594,14,192,812.869,8.461
side_sm_47.dat,2009,2009,0.1404,0.1404,0.9587,27,117,126.883,2.797,1857,2301,0.1089,0.1965,0.9459,9,125,160.402,4.281,3092,3092,0.2338,0.2338,0.8144,19,195,985.566,7.797,3097,3097,0.2441,0.2441,0.8027,17,205,1241.775,9.294,2397,2885,0.1446,0.2383,0.9364,13,156,317.595,3.892,2647,3093,0.1764,0.261,0.8281,14,178,841.065,8.044
side_sm_46.dat,1515,1515,0.1027,0.1027,0.9726,19,91,87.223,1.881,1548,2363,0.0911,0.2201,0.9571,10,110,138.327,3.383,2593,2593,0.21,0.21,0.8333,12,178,778.725,7.504,2499,2499,0.2163,0.2163,0.7618,11,181,1359.689,10.276,1914,2774,0.1126,0.24,0.9292,14,135,259.388,3.615,2176,2977,0.1421,0.2674,0.8711,13,158,622.844,6.173
side_sm_44.dat,1655,1655,0.1142,0.1142,0.9773,15,97,98.574,2.242,1781,2234,0.108,0.2175,0.9711,6,119,138.302,3.974,2829,2829,0.2334,0.2334,0.8501,5,190,880.71,8.3,2807,2807,0.2434,0.2434,0.8165,4,198,1079.602,9.572,2257,2676,0.1583,0.2583,0.9175,4,160,347.775,5.93,2415,2762,0.1657,0.2548,0.8603,5,168,723.219,7.172
side_sm_45.dat,1880,1880,0.1362,0.1362,0.9785,20,113,126.653,2.575,1602,2112,0.1065,0.1986,0.9566,6,114,131.455,3.603,2925,2925,0.2349,0.2349,0.8772,11,197,740.29,6.883,2870,2870,0.2447,0.2447,0.8177,8,203,1218.818,10.369,2164,2847,0.1452,0.2813,0.8975,6,155,388.526,6.374,2547,2976,0.1853,0.2718,0.7806,7,183,1081.574,10.673
side_sm_22.dat,1723,1723,0.1278,0.1278,0.9743,22,104,94.242,2.26,1674,2084,0.1041,0.1886,0.9775,9,111,106.088,2.855,2849,2849,0.2465,0.2465,0.8478,13,193,866.149,8.271,2815,2815,0.2605,0.2605,0.8045,9,204,1285.978,10.823,2189,2711,0.153,0.256,0.9123,11,153,302.1,5.015,2453,2801,0.1986,0.2632,0.8577,10,179,755.649,8.02
side_sm_36.dat,1831,1831,0.1457,0.1457,0.9743,19,115,112.233,2.992,1817,2491,0.1334,0.2542,0.978,8,130,133.702,4.304,2797,2797,0.2512,0.2512,0.8726,9,197,847.628,8.161,2730,2730,0.2524,0.2524,0.7974,8,199,1234.771,10.484,1975,2552,0.1547,0.2765,0.8671,8,147,385.211,7.037,2307,2751,0.1909,0.2875,0.8302,7,175,872.233,9.289
side_sm_37.dat,1775,1775,0.1384,0.1384,0.9608,20,107,117.268,2.63,1523,2106,0.09,0.2129,0.9692,7,102,112.415,2.743,2742,2742,0.2349,0.2349,0.8954,11,183,624.732,5.7,2699,2699,0.2444,0.2444,0.8334,8,190,988.809,8.361,1820,2281,0.1274,0.2352,0.8805,9,129,286.563,5.348,2233,2844,0.1611,0.2868,0.8418,9,160,659.783,7.122
side_sm_23.dat,1548,1548,0.1291,0.1291,0.9766,20,99,95.207,2.572,1620,2388,0.0856,0.2265,0.9738,8,111,129.803,3.18,2509,2509,0.2038,0.2038,0.8217,15,165,731.158,6.905,2509,2509,0.2158,0.2158,0.8102,13,175,1038.089,8.573,1944,2585,0.1371,0.268,0.9271,9,142,274.775,4.781,2053,2632,0.1511,0.2622,0.8495,8,152,632.813,6.942
side_sm_35.dat,1912,1912,0.1205,0.1205,0.9638,26,108,115.014,2.199,1579,2286,0.0862,0.1832,0.9688,8,105,96.193,2.468,2944,2944,0.2209,0.2209,0.8193,20,189,916.389,8.057,2929,2929,0.2305,0.2305,0.7988,17,197,1171.53,9.258,2291,2817,0.1486,0.2469,0.8785,14,159,391.86,6.626,2674,3078,0.1835,0.2689,0.8531,16,185,839.698,8.154
side_sm_21.dat,1680,1680,0.1465,0.1465,0.9647,20,106,107.022,2.462,1631,1989,0.1365,0.224,0.97,6,119,159.023,4.288,2604,2604,0.2326,0.2326,0.8163,10,176,808.625,7.409,2587,2587,0.26,0.26,0.8154,9,193,1079.513,9.369,1784,2243,0.1436,0.236,0.8824,7,129,272.346,5.522,2311,2775,0.201,0.292,0.867,9,173,643.751,7.342
side_sm_20.dat,1924,1924,0.1631,0.1631,0.9566,24,123,138.761,3.704,1539,2015,0.1251,0.2097,0.9726,7,118,104.046,4.209,2791,2791,0.2677,0.2677,0.8636,18,198,785.816,7.797,2812,2812,0.2758,0.2758,0.8573,13,207,970.16,8.327,2015,2558,0.1661,0.2656,0.907,9,156,327.078,6.448,2322,2847,0.196,0.2875,0.8254,9,181,863.515,9.384
side_sm_34.dat,1717,1717,0.1203,0.1203,0.9648,19,103,101.058,2.461,1621,2472,0.0881,0.2166,0.972,4,109,115.193,2.798,2619,2619,0.2169,0.2169,0.8727,11,170,621.86,5.621,2589,2589,0.2231,0.2231,0.8274,10,175,935.139,7.224,2046,2838,0.1347,0.259,0.8448,9,142,404.09,6.371,2227,3017,0.157,0.2751,0.8315,9,158,708.161,7.548
