file,price_price,price_price_ls,price_weight,price_weight_ls,price_size,price_elems,price_elems_ls,price_time,price_time_ls,weight_price,weight_price_ls,weight_weight,weight_weight_ls,weight_size,weight_elems,weight_elems_ls,weight_time,weight_time_ls,side_linear_price,side_linear_price_ls,side_linear_weight,side_linear_weight_ls,side_linear_size,side_linear_elems,side_linear_elems_ls,side_linear_time,side_linear_time_ls,side_quad_price,side_quad_price_ls,side_quad_weight,side_quad_weight_ls,side_quad_size,side_quad_elems,side_quad_elems_ls,side_quad_time,side_quad_time_ls,combined_linear_price,combined_linear_price_ls,combined_linear_weight,combined_linear_weight_ls,combined_linear_size,combined_linear_elems,combined_linear_elems_ls,combined_linear_time,combined_linear_time_ls,combined_quad_price,combined_quad_price_ls,combined_quad_weight,combined_quad_weight_ls,combined_quad_size,combined_quad_elems,combined_quad_elems_ls,combined_quad_time,combined_quad_time_ls
uniform_17.dat,2881,2881,0.2097,0.2097,0.9752,42,170,348.52,6.482,2927,4271,0.1831,0.4335,0.9717,14,198,437.863,9.465,4479,4479,0.3841,0.3841,0.8861,20,301,2139.084,14.988,4429,4429,0.4013,0.4013,0.8421,17,314,2740.491,16.814,3367,4872,0.2086,0.499,0.945,16,226,967.735,10.391,3722,4791,0.2728,0.4933,0.8645,16,266,1737.371,14.253
uniform_16.dat,3096,3096,0.2122,0.2122,0.9692,43,174,376.694,5.492,2769,4495,0.1457,0.4443,0.9762,12,177,332.429,6.221,4490,4490,0.3782,0.3782,0.8815,26,296,2095.071,13.823,4450,4450,0.3877,0.3877,0.8478,19,307,2622.434,15.487,3475,4846,0.2387,0.4853,0.9247,15,237,842.983,11.381,3803,4913,0.2696,0.4744,0.888,18,261,1789.27,12.801
uniform_9.dat,3043,3043,0.2345,0.2345,0.9791,37,186,341.399,7.55,2684,4940,0.1368,0.491,0.9716,13,177,376.169,6.102,4424,4424,0.3868,0.3868,0.8829,15,303,2245.379,14.387,4391,4391,0.3976,0.3976,0.8495,14,315,3027.87,17.377,3222,5081,0.231,0.5476,0.9285,12,235,955.389,12.644,3626,5077,0.274,0.5212,0.8702,13,272,1913.379,14.836
uniform_28.dat,3454,3454,0.2578,0.2578,0.9598,39,210,456.422,9.091,2713,4983,0.1812,0.5354,0.9828,27,195,385.251,8.939,4558,4558,0.381,0.381,0.8829,24,300,2238.567,14.05,4570,4570,0.4089,0.4089,0.8646,20,324,2815.78,17.284,3528,5510,0.2504,0.571,0.9167,16,255,1025.16,13.218,3832,5085,0.2909,0.5043,0.8635,17,278,2049.487,15.267
uniform_14.dat,3667,3667,0.2653,0.2653,0.973,61,213,442.096,7.215,3161,5878,0.1823,0.5995,0.9656,16,213,454.252,8.175,4924,4924,0.4314,0.4314,0.8566,22,334,2619.382,16.035,4905,4905,0.4408,0.4408,0.8396,19,343,3168.837,18.033,3908,6119,0.272,0.6027,0.9427,23,274,1262.617,13.089,4242,5680,0.3316,0.5394,0.8744,22,303,2376.972,15.137
uniform_15.dat,3049,3049,0.2306,0.2306,0.9719,48,184,372.398,7.192,3019,4671,0.1888,0.4898,0.9628,8,207,489.154,9.769,4539,4539,0.396,0.396,0.8641,13,316,2268.054,16.099,4519,4519,0.4013,0.4013,0.8428,12,323,2831.136,16.703,3330,4799,0.217,0.4816,0.8876,9,230,1003.401,11.71,4151,5078,0.3277,0.5017,0.8841,11,300,2075.483,15.239
uniform_29.dat,3113,3113,0.2117,0.2117,0.9702,37,177,340.705,5.714,2779,4725,0.1644,0.4686,0.9834,11,187,357.669,7.037,4567,4567,0.3747,0.3747,0.8839,17,297,2344.388,13.176,4587,4587,0.4071,0.4071,0.8696,17,321,2932.168,16.148,3178,5438,0.2223,0.5902,0.9249,12,224,899.569,10.527,3881,5515,0.2763,0.5494,0.8945,16,268,1997.452,12.541
uniform_8.dat,3315,3315,0.2378,0.2378,0.9811,59,189,331.785,5.706,2686,4175,0.1514,0.456,0.9511,12,181,401.831,8.237,4334,4334,0.3769,0.3769,0.8777,21,300,2099.654,26.126,4356,4356,0.3808,0.3808,0.8718,20,308,2665.529,15.039,3133,4336,0.2079,0.4653,0.9327,15,219,805.068,11.271,3600,4699,0.2654,0.461,0.8837,18,260,1811.15,13.239
uniform_11.dat,3075,3075,0.2333,0.2333,0.9773,46,184,350.214,7.047,2508,4061,0.1442,0.4364,0.9732,14,173,474.132,7.898,4305,4305,0.3485,0.3485,0.8478,28,287,2002.531,16.066,4296,4296,0.3739,0.3739,0.8055,24,305,2668.369,15.99,3517,4747,0.2326,0.4852,0.9392,20,245,994.965,13.48,3526,4744,0.2571,0.4849,0.8641,20,258,1720.109,14.275
uniform_39.dat,3018,3018,0.2222,0.2222,0.9782,36,179,362.787,6.539,2729,4405,0.1476,0.4314,0.9712,13,180,407.207,7.301,4219,4219,0.357,0.357,0.863,22,281,2025.826,13.474,4192,4192,0.3863,0.3863,0.8219,20,303,2645.05,16.811,3091,4441,0.2095,0.4547,0.9127,15,216,983.481,11.05,3661,4338,0.2775,0.4295,0.8614,21,259,1873.898,13.552
