file,price_price,price_price_ls,price_weight,price_weight_ls,price_size,price_elems,price_elems_ls,price_time,price_time_ls,weight_price,weight_price_ls,weight_weight,weight_weight_ls,weight_size,weight_elems,weight_elems_ls,weight_time,weight_time_ls,side_linear_price,side_linear_price_ls,side_linear_weight,side_linear_weight_ls,side_linear_size,side_linear_elems,side_linear_elems_ls,side_linear_time,side_linear_time_ls,side_quad_price,side_quad_price_ls,side_quad_weight,side_quad_weight_ls,side_quad_size,side_quad_elems,side_quad_elems_ls,side_quad_time,side_quad_time_ls,combined_linear_price,combined_linear_price_ls,combined_linear_weight,combined_linear_weight_ls,combined_linear_size,combined_linear_elems,combined_linear_elems_ls,combined_linear_time,combined_linear_time_ls,combined_quad_price,combined_quad_price_ls,combined_quad_weight,combined_quad_weight_ls,combined_quad_size,combined_quad_elems,combined_quad_elems_ls,combined_quad_time,combined_quad_time_ls
weight_lg_15.dat,7554,7554,1.0,1.0,0.9259,256,416,1131.106,6.509,6694,7684,0.7817,1.0,0.9461,30,460,1853.269,17.4,6933,6933,1.0,1.0,0.5652,412,412,763.111,0.002,6024,6024,1.0,1.0,0.3605,408,408,849.947,0.005,7293,7591,0.9164,1.0,0.9369,32,499,3469.256,19.647,7495,7495,0.9999,0.9999,0.8934,31,521,1780.902,11.161
weight_lg_29.dat,7774,7774,1.0,1.0,0.945,310,412,1012.87,3.23,7034,7707,0.8055,1.0,0.9596,20,464,2207.286,15.77,6643,6643,1.0,1.0,0.4314,402,402,742.672,0.002,5853,5853,1.0,1.0,0.2798,399,399,848.454,0.004,7752,7752,1.0,1.0,0.9402,20,523,1982.913,14.271,7265,7265,1.0,1.0,0.7269,498,498,1134.384,0.002
weight_lg_28.dat,7369,7369,1.0,1.0,0.9432,252,408,1263.711,6.736,6517,7484,0.7769,1.0,0.9403,32,452,1939.775,17.061,6798,6798,1.0,1.0,0.5673,410,410,728.619,0.002,6090,6090,1.0,1.0,0.3923,414,414,881.776,0.003,7290,7290,0.9998,0.9998,0.9166,35,522,2813.176,22.146,7381,7381,1.0,1.0,0.8768,33,517,1775.907,12.193
weight_lg_14.dat,7729,7729,1.0,1.0,0.9403,306,391,1024.897,2.889,7367,7736,0.9264,0.9999,0.948,40,496,2235.814,19.3,6835,6835,1.0,1.0,0.4232,398,398,709.096,0.002,6093,6093,1.0,1.0,0.2866,399,399,808.002,0.003,8019,8021,0.9997,1.0,0.9266,40,519,1743.957,13.169,7487,7487,1.0,1.0,0.7458,504,504,1217.651,0.002
weight_lg_8.dat,7680,7680,1.0,1.0,0.9521,291,414,1300.865,5.201,6818,7754,0.8038,1.0,0.9454,36,469,2217.304,17.226,7024,7024,1.0,1.0,0.5771,410,410,778.556,0.003,6474,6474,1.0,1.0,0.4408,422,422,950.899,0.006,7243,7406,0.974,0.9999,0.9118,37,524,3489.16,22.821,7447,7450,0.9993,1.0,0.8624,36,523,1701.415,10.369
weight_lg_16.dat,7325,7325,1.0,1.0,0.9367,269,397,1063.697,5.784,6763,7235,0.8449,0.9999,0.9615,31,462,2020.472,18.477,6821,6821,1.0,1.0,0.5513,405,405,730.701,0.002,5982,5982,1.0,1.0,0.3646,395,395,800.214,0.003,7279,7353,0.9656,1.0,0.9409,30,495,3441.612,19.753,7276,7278,0.9998,1.0,0.8527,55,497,1173.544,7.612
weight_lg_17.dat,7843,7843,1.0,1.0,0.932,301,402,949.533,3.282,7393,7821,0.8859,0.9999,0.9654,33,479,2241.568,16.661,6754,6754,1.0,1.0,0.4248,390,390,705.186,0.002,6109,6109,1.0,1.0,0.2968,387,387,765.997,0.003,7790,7838,0.9915,0.9999,0.9116,32,503,3575.731,17.793,7615,7615,0.9999,0.9999,0.7847,495,495,1091.701,0.002
weight_lg_9.dat,7552,7552,1.0,1.0,0.9473,300,424,1539.193,5.651,6974,7478,0.8725,0.9999,0.9682,19,484,2044.338,17.805,6812,6812,1.0,1.0,0.5266,415,415,726.464,0.002,6061,6061,1.0,1.0,0.3459,408,408,850.912,0.003,7457,7457,1.0,1.0,0.9274,21,523,3105.008,20.458,7481,7483,0.9993,1.0,0.87,21,518,1542.961,8.906
weight_lg_13.dat,7667,7667,0.9999,0.9999,0.9582,287,401,934.146,3.306,6970,7317,0.9159,0.9998,0.9572,23,486,1974.612,20.133,6716,6716,1.0,1.0,0.467,398,398,710.082,0.005,5880,5880,1.0,1.0,0.2918,393,393,815.936,0.002,7488,7490,0.9992,1.0,0.9087,24,514,1922.105,16.346,7280,7280,0.9999,0.9999,0.78,500,500,1104.654,0.002
weight_lg_12.dat,7450,7450,1.0,1.0,0.931,299,399,900.669,3.483,7145,7309,0.9052,0.9999,0.9796,30,484,2003.56,17.921,6660,6660,1.0,1.0,0.4958,397,397,706.673,0.002,5802,5802,1.0,1.0,0.305,398,398,824.034,0.002,7503,7503,1.0,1.0,0.9299,31,509,1988.998,14.786,7196,7196,1.0,1.0,0.7855,496,496,1126.993,0.002
