file,price_price,price_price_ls,price_weight,price_weight_ls,price_size,price_elems,price_elems_ls,price_time,price_time_ls,weight_price,weight_price_ls,weight_weight,weight_weight_ls,weight_size,weight_elems,weight_elems_ls,weight_time,weight_time_ls,side_linear_price,side_linear_price_ls,side_linear_weight,side_linear_weight_ls,side_linear_size,side_linear_elems,side_linear_elems_ls,side_linear_time,side_linear_time_ls,side_quad_price,side_quad_price_ls,side_quad_weight,side_quad_weight_ls,side_quad_size,side_quad_elems,side_quad_elems_ls,side_quad_time,side_quad_time_ls,combined_linear_price,combined_linear_price_ls,combined_linear_weight,combined_linear_weight_ls,combined_linear_size,combined_linear_elems,combined_linear_elems_ls,combined_linear_time,combined_linear_time_ls,combined_quad_price,combined_quad_price_ls,combined_quad_weight,combined_quad_weight_ls,combined_quad_size,combined_quad_elems,combined_quad_elems_ls,combined_quad_time,combined_quad_time_ls
weight_sm_17.dat,3155,3155,0.4459,0.4459,0.9831,59,181,330.643,5.745,2440,4446,0.2574,0.9127,0.9667,10,164,412.6,6.605,4353,4353,0.7006,0.7006,0.8666,20,289,1969.045,13.972,4329,4329,0.7374,0.7374,0.8398,16,303,2472.163,15.891,2832,4981,0.3382,0.9965,0.8934,12,195,754.603,9.209,3533,5018,0.517,0.9329,0.8712,17,253,1533.199,13.067
weight_sm_8.dat,3420,3420,0.5005,0.5005,0.9752,38,205,356.783,7.869,2913,5077,0.3599,1.0,0.982,10,201,335.365,8.295,4555,4555,0.7562,0.7562,0.8684,21,302,2160.222,14.384,4500,4500,0.7746,0.7746,0.8308,16,308,2562.916,15.519,3088,5008,0.3846,1.0,0.913,9,210,820.882,10.114,3716,5194,0.5632,1.0,0.9035,12,267,1699.659,13.861
weight_sm_9.dat,3418,3418,0.5136,0.5136,0.9807,40,205,353.084,7.575,2875,4826,0.3359,0.9441,0.9856,10,196,318.652,6.958,4603,4603,0.7805,0.7805,0.9083,21,314,2181.618,15.394,4526,4526,0.8016,0.8016,0.8477,17,323,2709.314,16.779,3202,5068,0.4185,1.0,0.8934,11,227,848.327,11.45,3874,5164,0.5873,1.0,0.881,14,284,1815.96,14.835
weight_sm_16.dat,3363,3363,0.4894,0.4894,0.9805,45,194,339.015,6.115,2745,4856,0.3111,0.997,0.9798,12,181,341.998,6.173,4565,4565,0.7669,0.7669,0.9092,26,302,2144.154,13.254,4435,4435,0.7725,0.7725,0.8159,23,307,2523.215,15.046,3510,5126,0.4565,0.9999,0.9429,15,240,960.491,10.777,3801,5094,0.5685,0.9995,0.8589,15,272,1820.272,13.673
weight_sm_14.dat,2693,2693,0.4321,0.4321,0.9705,47,161,330.207,5.675,2247,4671,0.3131,0.9999,0.9821,8,172,315.753,7.357,4084,4084,0.7297,0.7297,0.8784,16,282,1847.174,13.693,4109,4109,0.7672,0.7672,0.8764,14,298,2354.705,15.345,2579,4825,0.3655,1.0,0.9326,10,192,655.097,9.808,3039,4820,0.4716,1.0,0.8993,10,231,1281.094,12.259
weight_sm_28.dat,3197,3197,0.5187,0.5187,0.9617,36,208,414.932,9.796,2653,5184,0.2664,0.9999,0.9483,14,184,463.747,8.555,4239,4239,0.7287,0.7287,0.8554,19,295,1847.895,14.535,4284,4284,0.7671,0.7671,0.8509,19,306,2499.012,15.738,2939,5281,0.3606,1.0,0.9098,17,215,807.624,11.065,3284,5244,0.4565,1.0,0.9122,17,245,1382.816,13.146
weight_sm_29.dat,3403,3404,0.5468,0.5455,0.9541,34,219,485.35,9.961,2930,4752,0.3579,0.9997,0.9732,9,211,389.202,9.143,4473,4473,0.7823,0.7823,0.865,24,315,2110.942,15.83,4390,4390,0.8055,0.8055,0.7985,21,324,2810.532,17.529,3198,4859,0.4259,0.9999,0.9083,13,234,922.13,12.462,3795,5110,0.5509,0.9999,0.8789,17,276,1901.709,14.333
weight_sm_15.dat,3333,3333,0.488,0.488,0.9751,55,195,362.773,6.855,2857,4773,0.3085,0.9994,0.9712,10,194,391.602,7.904,4524,4524,0.7481,0.7481,0.8886,21,307,2021.078,14.956,4507,4507,0.7524,0.7524,0.8589,20,309,2581.689,15.167,3214,4891,0.3952,0.9996,0.9387,11,224,844.294,11.239,3648,5022,0.5032,0.9995,0.8909,11,258,1572.907,13.138
weight_sm_39.dat,3583,3583,0.543,0.543,0.9834,55,216,369.394,7.772,2567,4987,0.2852,1.0,0.9543,5,182,427.585,8.968,4525,4525,0.7533,0.7533,0.8525,16,310,2118.738,15.268,4535,4535,0.7903,0.7903,0.8471,15,324,2924.788,16.824,3339,4870,0.4664,1.0,0.9222,10,245,867.5,13.148,3673,4992,0.5455,0.9998,0.8903,12,270,1667.705,14.46
weight_sm_11.dat,3056,3056,0.4234,0.4234,0.9718,42,170,367.438,5.234,2817,4721,0.3213,0.9998,0.9696,15,181,372.134,6.709,4320,4320,0.7126,0.7126,0.8528,23,279,1906.966,12.178,4413,4413,0.7532,0.7532,0.8767,22,295,2479.091,13.869,3291,5106,0.4211,1.0,0.953,16,219,718.89,8.233,3504,5065,0.493,1.0,0.8962,17,241,1465.655,11.506
