instance,price,weight,time
w0s0.dat,44,30,1202131
w0s1.dat,52,30,206476
w0s2.dat,58,30,862656
w0s3.dat,60,30,23452
w0s4.dat,60,30,2544
w0s5.dat,60,30,3253
w1s0.dat,50,40,1200544
w1s1.dat,60,40,1097254
w1s2.dat,62,40,1209118
w1s3.dat,70,40,1200596
w1s4.dat,73,40,4998
w1s5.dat,73,40,2948
w2s0.dat,54,50,1205492
w2s1.dat,63,50,1201357
w2s2.dat,76,50,1205616
w2s3.dat,78,50,1201636
w2s4.dat,84,50,185271
w2s5.dat,84,50,2802
w3s0.dat,54,52,1205398
w3s1.dat,67,60,1206704
w3s2.dat,82,60,1207090
w3s3.dat,89,60,1200541
w3s4.dat,94,60,213856
w3s5.dat,94,60,2992
w4s0.dat,54,50,1203239
w4s1.dat,68,61,1207298
w4s2.dat,85,70,1208484
w4s3.dat,95,70,1200707
w4s4.dat,100,70,1200378
w4s5.dat,104,70,430727
w5s0.dat,54,53,1201403
w5s1.dat,71,61,1207644
w5s2.dat,86,69,1208769
w5s3.dat,98,79,1200454
w5s4.dat,104,80,1200781
w5s5.dat,111,80,143384
