file_name,x,y,c,n,price_price,price_weight,price_space,price_selected,price_time,price_price_ls,price_weight_ls,price_space_ls,price_selected_ls,price_time_ls,weight_price,weight_weight,weight_space,weight_selected,weight_time,weight_price_ls,weight_weight_ls,weight_space_ls,weight_selected_ls,weight_time_ls,side_linear_price,side_linear_weight,side_linear_space,side_linear_selected,side_linear_time,side_linear_price_ls,side_linear_weight_ls,side_linear_space_ls,side_linear_selected_ls,side_linear_time_ls,side_quad_price,side_quad_weight,side_quad_space,side_quad_selected,side_quad_time,side_quad_price_ls,side_quad_weight_ls,side_quad_space_ls,side_quad_selected_ls,side_quad_time_ls,combined_linear_price,combined_linear_weight,combined_linear_space,combined_linear_selected,combined_linear_time,combined_linear_price_ls,combined_linear_weight_ls,combined_linear_space_ls,combined_linear_selected_ls,combined_linear_time_ls,combined_quad_price,combined_quad_weight,combined_quad_space,combined_quad_selected,combined_quad_time,combined_quad_price_ls,combined_quad_weight_ls,combined_quad_space_ls,combined_quad_selected_ls,combined_quad_time_ls
side_sm_41.dat,10000,100,100,1000,1771,1174,9769,24,123.528,1771,1174,9769,103,126.95,1633,974,9739,8,141.976,2158,1964,9739,110,146.608,2914,2401,8195,16,1131.034,2914,2401,8195,192,1142.537,2940,2607,8262,14,1376.189,2940,2607,8262,206,1389.506,2086,1346,8356,11,500.67,2735,2779,8356,142,510.444,2629,1937,8387,14,1002.909,2955,2803,8387,182,1014.707
weight_sm_17.dat,10000,100,100,1000,3155,4459,9831,59,389.407,3155,4459,9831,181,397.755,2440,2574,9667,10,447.502,4446,9127,9667,164,457.135,4353,7006,8666,20,2418.239,4353,7006,8666,289,2438.116,4329,7374,8398,16,2920.144,4329,7374,8398,303,2942.771,2832,3382,8934,12,881.868,4981,9965,8934,195,895.483,3533,5170,8712,17,2022.119,5018,9329,8712,253,2041.198
side_lg_8.dat,10000,100,100,1000,1833,526,9729,21,135.843,1833,526,9729,112,140.008,1893,425,9683,15,136.29,2195,664,9683,116,140.715,2930,948,8382,15,1080.8,2930,948,8382,195,1093.749,2932,988,8266,12,1333.917,2932,988,8266,201,1347.826,2442,689,8852,11,619.004,2799,1016,8852,169,629.648,2582,742,8143,12,1353.511,2974,1052,8143,178,1366.91
weight_lg_15.dat,10000,100,100,1000,7554,10000,9259,256,1467.037,7554,10000,9259,416,1476.68,6694,7817,9461,30,2925.588,7684,10000,9461,460,2955.46,6933,10000,5652,412,1140.576,6933,10000,5652,412,1140.591,6024,10000,3605,408,1050.875,6024,10000,3605,408,1050.89,7293,9164,9369,32,4370.368,7591,10000,9369,499,4398.316,7495,9999,8934,31,2100.755,7495,9999,8934,521,2148.183
side_lg_43.dat,10000,100,100,1000,2016,612,9662,23,222.304,2016,612,9662,122,227.071,1369,300,9474,9,160.083,2009,736,9474,91,164.19,2769,931,8288,15,1028.677,2769,931,8288,182,1039.925,2814,1014,8308,12,1250.889,2814,1014,8308,198,1264.356,2229,606,8817,10,497.465,2738,1013,8817,150,505.849,2572,813,8479,12,1011.214,2994,1159,8479,184,1023.647
weight_lg_29.dat,10000,100,100,1000,7774,10000,9450,310,1502.161,7774,10000,9450,412,1518.549,7034,8055,9596,20,2957.886,7707,10000,9596,464,2980.251,6643,10000,4314,402,835.186,6643,10000,4314,402,835.203,5853,10000,2798,399,953.621,5853,10000,2798,399,953.636,7752,10000,9402,20,2381.899,7752,10000,9402,523,2402.142,7265,10000,7269,498,1305.113,7265,10000,7269,498,1305.13
weight_sm_8.dat,10000,100,100,1000,3420,5005,9752,38,388.271,3420,5005,9752,205,399.584,2913,3599,9820,10,399.37,5077,10000,9820,201,411.277,4555,7562,8684,21,2675.102,4555,7562,8684,302,2695.655,4500,7746,8308,16,3039.004,4500,7746,8308,308,3061.064,3088,3846,9130,9,1277.884,5008,10000,9130,210,1292.731,3716,5632,9035,12,2118.495,5194,10000,9035,267,2138.195
uniform_17.dat,10000,100,100,1000,2881,2097,9752,42,397.151,2881,2097,9752,170,406.552,2927,1831,9717,14,485.221,4271,4335,9717,198,499.373,4479,3841,8861,20,2557.56,4479,3841,8861,301,2578.791,4429,4013,8421,17,3148.718,4429,4013,8421,314,3173.03,3367,2086,9450,16,1129.07,4872,4990,9450,226,1144.124,3722,2728,8645,16,2184.593,4791,4933,8645,266,2208.19
uniform_16.dat,10000,100,100,1000,3096,2122,9692,43,428.264,3096,2122,9692,174,436.484,2769,1457,9762,12,396.57,4495,4443,9762,177,405.697,4490,3782,8815,26,2636.904,4490,3782,8815,296,2656.619,4450,3877,8478,19,3139.283,4450,3877,8478,307,3165.711,3475,2387,9247,15,1120.492,4846,4853,9247,237,1137.09,3803,2696,8880,18,2239.783,4913,4744,8880,261,2259.659
weight_sm_9.dat,10000,100,100,1000,3418,5136,9807,40,531.458,3418,5136,9807,205,546.962,2875,3359,9856,10,404.108,4826,9441,9856,196,414.616,4603,7805,9083,21,4258.07,4603,7805,9083,314,4280.726,4526,8016,8477,17,3906.756,4526,8016,8477,323,3932.96,3202,4185,8934,11,1076.098,5068,10000,8934,227,1092.974,3874,5873,8810,14,2249.559,5164,10000,8810,284,2271.611
