file_name,x,y,c,n,price_price,price_weight,price_space,price_selected,price_time,price_price_ls,price_weight_ls,price_space_ls,price_selected_ls,price_time_ls
side_sm_41.dat,10000,100,100,1000,1771,1174,9769,24,121.311,1771,1174,9769,103,124.293
weight_sm_17.dat,10000,100,100,1000,3155,4459,9831,59,411.28,3155,4459,9831,181,419.589
side_lg_8.dat,10000,100,100,1000,1833,526,9729,21,210.638,1833,526,9729,112,218.461
weight_lg_15.dat,10000,100,100,1000,7554,10000,9259,256,1505.661,7554,10000,9259,416,1515.005
side_lg_43.dat,10000,100,100,1000,2016,612,9662,23,192.01,2016,612,9662,122,196.978
weight_lg_29.dat,10000,100,100,1000,7774,10000,9450,310,1277.062,7774,10000,9450,412,1281.777
weight_sm_8.dat,10000,100,100,1000,3420,5005,9752,38,400.89,3420,5005,9752,205,412.857
uniform_17.dat,10000,100,100,1000,2881,2097,9752,42,410.507,2881,2097,9752,170,420.111
uniform_16.dat,10000,100,100,1000,3096,2122,9692,43,805.537,3096,2122,9692,174,814.743
weight_sm_9.dat,10000,100,100,1000,3418,5136,9807,40,594.26,3418,5136,9807,205,605.583
weight_lg_28.dat,10000,100,100,1000,7369,10000,9432,252,1615.664,7369,10000,9432,408,1625.559
side_lg_42.dat,10000,100,100,1000,1729,465,9793,18,104.273,1729,465,9793,98,107.126
weight_lg_14.dat,10000,100,100,1000,7729,10000,9403,306,1372.1,7729,10000,9403,391,1376.432
side_lg_9.dat,10000,100,100,1000,2026,622,9162,21,242.506,2026,622,9162,126,249.402
weight_sm_16.dat,10000,100,100,1000,3363,4894,9805,45,415.354,3363,4894,9805,194,424.324
side_sm_40.dat,10000,100,100,1000,1785,1221,9869,20,94.05,1785,1221,9869,107,96.864
side_sm_42.dat,10000,100,100,1000,2168,1764,9656,21,194.573,2168,1764,9656,135,201.538
weight_sm_14.dat,10000,100,100,1000,2693,4321,9705,47,441.001,2693,4321,9705,161,449.552
weight_sm_28.dat,10000,100,100,1000,3197,5187,9617,36,498.379,3197,5187,9617,208,512.945
weight_lg_8.dat,10000,100,100,1000,7680,10000,9521,291,1589.067,7680,10000,9521,414,1596.351
uniform_9.dat,10000,100,100,1000,3043,2345,9791,37,397.974,3043,2345,9791,186,409.002
weight_lg_16.dat,10000,100,100,1000,7325,10000,9367,269,1322.333,7325,10000,9367,397,1330.526
side_lg_40.dat,10000,100,100,1000,1740,527,9634,16,127.948,1740,527,9634,106,131.702
side_sm_8.dat,10000,100,100,1000,1926,1463,9720,17,151.458,1926,1463,9720,109,155.187
uniform_28.dat,10000,100,100,1000,3454,2578,9598,39,511.938,3454,2578,9598,210,524.993
uniform_14.dat,10000,100,100,1000,3667,2653,9730,61,492.064,3667,2653,9730,213,502.629
uniform_15.dat,10000,100,100,1000,3049,2306,9719,48,427.238,3049,2306,9719,184,437.117
uniform_29.dat,10000,100,100,1000,3113,2117,9702,37,404.064,3113,2117,9702,177,412.366
side_sm_9.dat,10000,100,100,1000,1866,1549,9703,22,127.334,1866,1549,9703,118,132.052
side_lg_41.dat,10000,100,100,1000,1646,563,9562,20,168.583,1646,563,9562,109,174.013
weight_lg_17.dat,10000,100,100,1000,7843,10000,9320,301,1185.579,7843,10000,9320,402,1190.063
uniform_8.dat,10000,100,100,1000,3315,2378,9811,59,390.974,3315,2378,9811,189,399.137
weight_lg_9.dat,10000,100,100,1000,7552,10000,9473,300,1948.726,7552,10000,9473,424,1959.906
weight_sm_29.dat,10000,100,100,1000,3403,5468,9541,34,598.776,3404,5455,9541,219,613.617
