file,weight,weight_t,weight_ls,weight_ls_t,size_linear,size_linear_t,size_linear_ls,size_linear_ls_t,size_quad,size_quad_t,size_quad_ls,size_quad_ls_t,combined_linear,combined_linear_t,combined_linear_ls,combined_linear_ls_t,combined_quad,combined_quad_t,combined_quad_ls,combined_quad_ls_t
0,945,64456000,1048,3480000,683,88619000,838,7328000,635,201214000,812,16774000,685,74839000,956,6068000,696,117457000,985,11091000
1,780,89853000,1062,5441000,696,79106000,717,9565000,616,112981000,647,10238000,548,81015000,793,6551000,475,111818000,658,10863000
2,855,74303000,1048,4333000,823,105667000,889,12640000,777,149618000,845,13301000,860,79747000,1010,7072000,890,127241000,960,14666000
3,1106,99531000,1338,6233000,868,81039000,903,9878000,722,119952000,765,10772000,808,78026000,1006,6878000,585,120266000,842,11216000
4,1092,102864000,1336,6528000,681,84734000,817,8892000,681,177718000,817,15258000,840,73621000,1077,6382000,650,124401000,935,12015000
5,839,112692000,1034,8428000,709,71107000,744,7993000,717,111762000,751,10114000,482,83257000,695,5754000,474,115940000,660,11544000
6,1026,136695000,1239,8678000,782,72684000,823,8629000,766,106824000,806,9749000,648,84942000,791,6818000,654,113437000,799,11292000
7,1087,85931000,1329,5048000,854,69455000,912,8162000,815,110241000,875,9722000,861,80324000,985,7363000,746,82116000,878,8572000
8,993,91373000,1169,5416000,850,63231000,881,7684000,868,89679000,896,8368000,775,65505000,895,6360000,914,79894000,914,10237000
9,798,65548000,987,4519000,684,44230000,684,5596000,684,63620000,684,5775000,686,85972000,859,7270000,721,90704000,839,10134000
10,1078,96476000,1232,5787000,629,91322000,765,8914000,520,186714000,661,14917000,973,98804000,1216,8639000,561,116929000,765,10368000
11,890,109355000,1111,7630000,646,97655000,738,10320000,629,156001000,723,13216000,726,83009000,952,6998000,545,141293000,800,13113000
12,769,71575000,777,4798000,753,65578000,765,7859000,753,92717000,765,8405000,450,66385000,480,5125000,608,66346000,586,7874000
13,823,60786000,1036,3831000,567,57005000,660,5951000,565,92190000,661,7888000,450,65920000,655,4055000,686,141109000,853,14976000
14,894,122565000,1127,7338000,556,79424000,750,6394000,564,206157000,778,14439000,660,76652000,910,6369000,464,104488000,766,8849000
