file,weight,weight_t,weight_ls,weight_ls_t,size_linear,size_linear_t,size_linear_ls,size_linear_ls_t,size_quad,size_quad_t,size_quad_ls,size_quad_ls_t,combined_linear,combined_linear_t,combined_linear_ls,combined_linear_ls_t,combined_quad,combined_quad_t,combined_quad_ls,combined_quad_ls_t
0,1781,337857000,2143,18259000,1369,262149000,1773,22543000,1279,307891000,1694,22559000,1354,232606000,1685,19618000,1340,245751000,1741,22289000
1,1667,292428000,1954,16038000,1246,234709000,1696,21520000,1275,311625000,1731,22355000,1455,244757000,1817,21094000,1226,237285000,1554,22082000
2,1594,295120000,1838,14718000,1354,255970000,1772,22228000,1271,321324000,1706,22433000,1463,253878000,1801,22115000,1283,239919000,1625,21581000
3,1736,291483000,2064,16066000,985,257213000,1398,21207000,727,306098000,1094,21846000,1093,216338000,1424,17174000,850,236074000,1236,20592000
4,1816,321508000,2041,17300000,1377,268414000,1737,23223000,1064,306558000,1362,23230000,1199,233752000,1482,18137000,1351,248858000,1651,22837000
5,1782,320183000,2091,16622000,1418,248150000,1867,22231000,1162,307345000,1576,22383000,1232,244290000,1634,19735000,1008,238264000,1388,21542000
6,2036,313784000,2326,18146000,1136,256863000,1547,22197000,1276,311122000,1660,22912000,1326,227742000,1682,18527000,1177,240014000,1566,21616000
7,1459,328287000,1733,18671000,952,242612000,1320,22354000,884,304567000,1252,22175000,1100,260853000,1495,19786000,971,224561000,1365,21147000
8,1598,300923000,1827,16190000,1329,258415000,1752,22263000,1157,315495000,1539,22557000,1517,243750000,1761,21340000,1022,234117000,1315,21392000
9,1233,323080000,1555,16567000,1358,267504000,1719,23059000,1172,316343000,1569,22418000,1144,251928000,1369,20263000,1176,236689000,1535,21915000
10,1562,290109000,1740,15801000,1083,227211000,1472,20034000,873,300244000,1230,22349000,1172,244980000,1523,20133000,1189,226197000,1498,21518000
11,2066,345880000,2312,18910000,1714,285646000,2141,23037000,1543,316610000,1934,23402000,1391,243745000,1716,19090000,1542,242235000,1909,22706000
12,1927,380072000,2103,20445000,1361,258764000,1711,22696000,1201,321835000,1539,23042000,1283,234148000,1594,18135000,1336,249721000,1672,22770000
13,1469,292093000,1635,15717000,1190,263870000,1575,22439000,964,313636000,1353,22089000,1166,253697000,1542,20612000,1216,243889000,1545,21967000
14,1443,276316000,1684,15201000,1094,253889000,1520,21914000,1064,309201000,1492,21710000,1156,245980000,1564,20222000,1023,239395000,1367,21119000
15,1841,390343000,2128,22530000,826,252109000,1284,20388000,722,313196000,1147,21105000,1462,287778000,1756,21815000,1249,251117000,1590,21965000
16,1594,292436000,1803,15672000,1178,241351000,1598,21056000,1177,317509000,1567,22531000,1241,256774000,1575,19566000,1252,236761000,1563,22471000
17,1511,350582000,1844,22779000,955,232081000,1330,20998000,771,304588000,1170,21761000,989,241374000,1307,18298000,809,223672000,1091,19801000
18,1726,285061000,1924,14858000,1204,253933000,1644,21813000,1087,309272000,1467,22507000,1270,229470000,1618,19224000,906,213657000,1222,20143000
19,1451,306096000,1617,16651000,1093,246949000,1425,21334000,922,315602000,1288,22354000,1241,246190000,1511,20360000,1156,247033000,1479,21908000
20,1784,368693000,2030,20592000,1390,280790000,1828,22206000,1258,309296000,1694,22356000,1463,243040000,1813,20676000,1529,238271000,1849,22296000
21,1940,362140000,2305,23020000,1492,273372000,1932,22137000,1431,315698000,1861,22755000,1593,263494000,1919,21939000,1320,246456000,1664,22136000
22,1376,352742000,1689,20656000,964,197106000,1291,17093000,957,307787000,1354,22076000,1343,258355000,1625,21537000,1286,240907000,1665,22218000
23,1902,366543000,2266,22309000,1242,240240000,1668,22223000,1325,307797000,1749,22471000,1641,260051000,2007,21840000,1029,235523000,1395,20775000
24,1502,307645000,1810,19156000,1121,250715000,1490,21849000,822,304218000,1172,22194000,1205,247858000,1471,19950000,1044,242333000,1433,21359000
25,1983,357510000,2244,21293000,1199,233185000,1547,21380000,1186,310827000,1555,23032000,1141,228640000,1483,18929000,1198,228093000,1540,22009000
