file,weight,weight_t,weight_ls,weight_ls_t,size_linear,size_linear_t,size_linear_ls,size_linear_ls_t,size_quad,size_quad_t,size_quad_ls,size_quad_ls_t,combined_linear,combined_linear_t,combined_linear_ls,combined_linear_ls_t,combined_quad,combined_quad_t,combined_quad_ls,combined_quad_ls_t
0,1762,278124000,1762,0,2777,1013863000,2777,1000,3256,920572000,3378,19838000,1836,706668000,1836,0,2133,739234000,2133,1000
1,1505,205578000,1505,1000,2432,997615000,2432,1000,2722,866001000,2722,1000,1658,636761000,1658,0,1933,779273000,1933,1000
2,1607,222721000,1607,0,2869,885869000,2869,4000,3092,876912000,3093,277000,1727,701095000,1727,0,2178,753231000,2178,1000
3,1692,236527000,1692,1000,2835,904551000,2852,3579000,2985,886903000,2985,1000,1781,686260000,1781,0,2137,698409000,2137,1000
4,1804,412764000,1804,1000,3232,963519000,3294,12119000,3342,863922000,3472,21264000,1938,862685000,1938,1000,2328,798810000,2328,1000
5,1609,215831000,1609,0,2826,941541000,2945,18019000,3008,924979000,3135,20286000,1768,906378000,1768,1000,2134,794387000,2134,0
6,1587,227042000,1587,1000,2717,980950000,2717,1000,2912,933153000,2955,8230000,1711,722475000,1711,1000,2015,763590000,2015,1000
7,1511,241494000,1511,1000,2878,999529000,2878,0,2997,899894000,3001,1463000,1663,798063000,1663,1000,2085,811658000,2085,1000
8,1587,200973000,1587,0,2630,909719000,2635,1446000,2742,887479000,2761,4483000,1681,613063000,1681,1000,2009,720152000,2009,1000
9,1477,208173000,1477,1000,2287,975221000,2287,4000,2457,912128000,2457,563000,1581,785722000,1581,0,1652,728604000,1652,3000
10,1557,230827000,1557,2000,2487,1004741000,2487,0,3069,913062000,3077,2265000,1698,654517000,1698,1000,2030,736294000,2030,0
11,1613,183738000,1613,0,2712,1017043000,2712,1000,2855,903453000,2855,1000,1714,742058000,1714,1000,2022,764245000,2022,1000
12,1505,213024000,1505,1000,2855,977664000,2855,0,2745,913589000,2873,19038000,1723,697201000,1723,1000,1958,773074000,1958,1000
13,1629,226973000,1629,0,2833,980604000,2833,1000,2853,925823000,2867,3257000,1721,632477000,1721,0,2164,829275000,2164,1000
14,1724,375554000,1724,1000,3291,976938000,3319,7769000,3179,869845000,3298,20060000,1830,656444000,1830,1000,2194,773021000,2194,4000
15,1356,205659000,1356,1000,2298,929457000,2298,3000,2383,863560000,2383,108000,1496,704430000,1496,1000,1715,740344000,1715,1000
16,1562,180294000,1562,1000,2616,872952000,2616,0,3278,925783000,3286,3444000,1664,711534000,1664,1000,1969,767060000,1969,1000
17,1620,199483000,1620,0,2671,972608000,2687,4306000,3032,953819000,3032,124000,1716,772270000,1716,1000,2153,722034000,2153,1000
18,1765,234483000,1765,1000,3176,891202000,3191,3544000,3112,917329000,3234,19898000,1941,772734000,1941,1000,2297,703340000,2297,1000
19,1508,217579000,1508,1000,2624,975536000,2624,0,3064,894708000,3064,1000,1586,691567000,1586,1000,1765,719494000,1765,1000
20,1466,216144000,1466,1000,2587,951473000,2587,1000,2857,906919000,2955,17131000,1651,697694000,1651,2000,1980,775891000,1980,1000
21,1677,370997000,1677,0,2766,964666000,2766,1000,3077,886395000,3077,4000,1842,699883000,1842,1000,1960,789708000,1960,0
22,1752,239191000,1752,0,3129,1005583000,3129,1000,3109,939170000,3226,19237000,1813,727612000,1813,1000,2055,739889000,2055,1000
23,1605,212527000,1605,1000,2434,1032842000,2434,0,2538,957130000,2553,4701000,1742,605818000,1742,1000,2016,780160000,2016,0
24,1808,280502000,1808,1000,2881,999875000,2881,157000,3169,858836000,3299,20053000,1968,694702000,1968,1000,2259,778986000,2259,1000
25,1473,247347000,1473,3000,2589,924557000,2589,1000,2735,933483000,2864,19526000,1611,686284000,1611,1000,1750,796622000,1750,0
26,1683,261137000,1683,1000,3066,993831000,3066,0,3303,894503000,3432,20422000,1786,765057000,1786,4000,2151,821645000,2151,1000
27,1704,253233000,1704,0,3130,1020661000,3130,1000,3339,951368000,3464,20279000,1821,716119000,1821,1000,2100,787008000,2100,0
28,1529,212990000,1529,0,2644,951197000,2644,1000,2556,899872000,2556,2000,1695,708381000,1695,0,1947,763092000,1947,0
29,1582,198177000,1582,1000,2787,1016779000,2796,2184000,3282,919645000,3282,1000,1697,715472000,1697,0,1943,738546000,1943,1000
30,1820,326831000,1820,0,3103,1035212000,3167,12347000,2748,942910000,2879,19888000,2090,719021000,2090,1000,2360,784873000,2360,3000
31,1622,175299000,1622,1000,2289,1010676000,2289,2000,2711,935274000,2711,2000,1730,586573000,1730,1000,1926,678963000,1926,1000
32,1546,233223000,1546,1000,2724,1015154000,2725,519000,2909,884120000,3038,18917000,1655,715710000,1655,1000,2066,725281000,2066,1000
33,1577,204870000,1577,1000,2767,1001821000,2775,2035000,3224,889582000,3308,16378000,1676,769916000,1676,1000,1825,769326000,1825,1000
34,1665,237781000,1665,1000,2802,968362000,2802,1000,2923,921377000,3017,15521000,1777,691303000,1777,1000,1993,785100000,1993,1000
