file,weight,weight_t,weight_ls,weight_ls_t,size_linear,size_linear_t,size_linear_ls,size_linear_ls_t,size_quad,size_quad_t,size_quad_ls,size_quad_ls_t,combined_linear,combined_linear_t,combined_linear_ls,combined_linear_ls_t,combined_quad,combined_quad_t,combined_quad_ls,combined_quad_ls_t
0,1955,357482000,2225,23407000,1052,238012000,1502,21008000,1069,315022000,1479,22024000,1424,243934000,1752,20166000,1165,241279000,1572,21750000
1,1957,340220000,2281,18709000,1223,259934000,1607,22422000,1448,313285000,1800,23315000,1584,244537000,1954,21112000,1602,241680000,1853,22215000
2,2020,408519000,2299,23007000,1291,271599000,1670,22584000,1291,323034000,1650,22897000,1358,260101000,1621,20104000,1042,228794000,1314,20806000
3,1678,278853000,1893,13758000,1229,252855000,1607,20797000,997,309928000,1304,22800000,1265,227609000,1544,18269000,1124,243138000,1324,22521000
4,1353,276951000,1638,13436000,1191,232098000,1593,20295000,1045,309893000,1455,22099000,1358,253474000,1652,20080000,1078,237598000,1385,21293000
5,1414,388963000,1718,21993000,1341,272129000,1756,22406000,1366,314760000,1781,22445000,1137,250448000,1531,20300000,1122,238862000,1504,22334000
6,1638,342173000,1884,18617000,1290,259488000,1674,22876000,1323,308904000,1683,23234000,1294,255771000,1669,19219000,1342,239603000,1718,22071000
7,1790,300123000,2067,16860000,1181,227698000,1518,20299000,1193,299891000,1568,22854000,1311,242111000,1690,19072000,1328,237868000,1565,21595000
8,1806,315143000,2165,18176000,1209,264330000,1642,21913000,1239,317926000,1649,22363000,1469,240315000,1853,19560000,1514,244002000,1771,23140000
9,1645,308449000,2019,18679000,1415,223780000,1733,22508000,1370,302257000,1711,23485000,1490,253487000,1863,21129000,1428,244558000,1716,22050000
10,1503,338447000,1786,20641000,1374,270430000,1758,22651000,1133,302446000,1510,22420000,1143,243206000,1507,19532000,1119,230644000,1428,21461000
11,1535,272126000,1885,15504000,1338,239894000,1743,22801000,1141,302809000,1551,22375000,1106,238442000,1439,18404000,949,236179000,1332,20696000
12,1912,323323000,2178,18040000,1134,250207000,1540,22214000,1133,310855000,1540,22380000,1245,259932000,1540,19927000,1297,237878000,1605,22595000
13,1837,275694000,2020,16175000,1414,233877000,1786,22171000,1407,309864000,1786,23023000,1423,242653000,1637,19831000,1537,233428000,1793,23140000
14,1937,304962000,2139,16204000,1286,254547000,1717,22168000,1328,317429000,1740,22627000,1445,253235000,1792,19798000,1369,247728000,1771,22083000
15,1782,314722000,2015,17715000,1046,260173000,1450,20908000,1130,312557000,1517,22392000,1811,258917000,2058,22109000,1275,244529000,1474,22307000
16,1751,360560000,2053,23343000,1424,263300000,1846,22523000,1343,315276000,1721,22795000,1301,251819000,1634,20201000,922,234770000,1247,21139000
17,1602,292151000,1773,14882000,1421,272640000,1820,22481000,1483,327465000,1887,22868000,1505,267385000,1866,21407000,1269,248663000,1556,22267000
18,1729,300330000,2061,17988000,1331,251099000,1730,22623000,988,305408000,1380,22090000,1426,259891000,1643,20949000,1348,236369000,1616,21912000
19,1770,337247000,2077,17824000,1609,258832000,2052,22622000,1228,315813000,1659,22066000,1519,264746000,1861,20751000,1272,243923000,1584,21639000
20,1313,292196000,1563,15214000,1021,227485000,1358,20818000,1004,307367000,1379,22605000,931,254118000,1236,18758000,1051,241599000,1389,22267000
21,2104,359065000,2434,21185000,1254,253021000,1680,21445000,1214,312267000,1602,22528000,1353,243650000,1638,19833000,931,245156000,1184,20988000
22,1774,375216000,1930,21541000,1297,285907000,1707,22109000,1180,312365000,1583,22384000,1272,274474000,1550,20754000,1280,246803000,1490,22808000
23,1546,310550000,1846,17364000,1303,246032000,1729,22340000,1297,314761000,1721,22414000,1438,257528000,1700,21291000,1303,244573000,1658,22147000
24,1511,317612000,1758,16441000,1117,266815000,1504,22555000,1097,316583000,1461,22537000,1579,264470000,1929,21479000,1214,243050000,1522,22322000
25,1711,298415000,1901,18480000,1170,254910000,1479,23342000,1112,312758000,1424,23145000,1252,217260000,1568,19014000,1306,243778000,1598,22523000
26,1678,282948000,1901,16107000,1017,245981000,1401,21978000,800,310923000,1196,21682000,1603,245993000,1857,21481000,1372,233992000,1680,22220000
27,1719,323621000,2030,18557000,1096,272585000,1508,22127000,917,324246000,1309,22108000,1133,246089000,1359,18873000,903,232284000,1242,20137000
28,1665,315634000,1936,18061000,1105,255566000,1484,22307000,948,313110000,1312,22258000,1256,249507000,1608,20609000,1064,231813000,1327,21097000
29,1900,271575000,2171,15492000,1130,208483000,1462,19910000,1033,301533000,1406,22618000,1474,237421000,1683,20384000,1477,232283000,1763,22736000
